main_category,sub_category,job_name,job_area,job_company,job_industry,job_finance,job_scale,job_welfare,salary_range,salary_type,job_experience,job_education,job_tag_list,search_keyword,create_time,,,,
产品,产品经理,产品经理+底薪21k+955+六险一金,杭州·滨江区·长河,长亮科技,计算机软件,已上市,1000-9999人,保底工资，节日福利，员工旅游，通讯补贴，绩效奖金，补充医疗保险，交通补助，加班补助，五险一金，股票期权，定期体检，带薪年假，法定节假日三薪，意外险，零食下午茶，团建聚餐,15-22K,13薪,3-5年,本科,"B端产品,财务,费控",saas,2025/1/20,,,,
产品,产品经理,产品经理toC,杭州·西湖区·西溪,祖玛科技,互联网,不需要融资,20-99人,加班福利，五险一金，团建，年终奖，定期体检，带薪年假，节日福利，零食下午茶,11-16K,NULL,3-5年,本科,"C端产品,内容产品,社交产品,AI产品,工具型,数据分析,",saas,2025/1/20,,,,
产品,产品经理,产品经理助理设计,杭州,梦虎网络,智能硬件,A轮,20-99人,节日福利，全勤奖，五险一金，员工旅游，保底工资，带薪年假，股票期权，绩效奖金，团建聚餐,150-200元/天,NULL,3天/周,3个月,"提供实习证明,提供转正机会,设计,C端产品,社区产品,,,,",saas,2025/1/20,,,,
产品,产品经理,产品经理助理设计,杭州,梦虎网络,智能硬件,A轮,20-99人,绩效奖金，员工旅游，节日福利，五险一金，团建聚餐，带薪年假，股票期权，保底工资，全勤奖,200-250元/天,NULL,3天/周,3个月,"提供实习证明,提供转正机会,设计,C端产品,社区产品,,,,",saas,2025/1/20,,,,
产品,产品经理,产品经理合伙人,杭州·余杭区·西溪,和品区块链,计算机软件,未融资,20-99人,全勤奖，零食下午茶，员工旅游，年终奖，股票期权，五险一金,15-30K,13薪,5-10年,本科,"产品设计,需求分析,数据产品,功能产品,Visio,产品规划,,",saas,2025/1/20,,,,
产品,产品经理,产品经理合伙人,杭州·西湖区·黄龙,胜禾网络,大数据,0-20人,NULL,,10-15K,NULL,经验不限,大专,"B端产品,数据产品,电商产品,社区产品,AI产品",saas,2025/1/20,,,,
产品,产品经理,产品经理实习生,杭州·余杭区·仓前,班牛ByteNew,企业服务,A轮,100-499人,五险一金，节日福利，有无线网，带薪年假，绩效奖金，生日福利，年终奖，零食下午茶，股票期权，团建聚餐，员工旅游，加班补助,100-200元/天,NULL,5天/周,6个月,"提供实习证明,提供转正机会,B端产品,中后台产品,,,",saas,2025/1/20,,,,
产品,产品经理,产品经理实习生,杭州·萧山区·西兴,知衣科技,大数据,B轮,100-499人,定期体检，五险一金，股票期权，员工旅游，团建费，零食下午茶，节日福利,200-290元/天,NULL,5天/周,6个月,"提供实习证明,B端产品,提供转正机会,saas,",saas,2025/1/20,,,,
产品,产品经理,产品经理实习生（有留任机会）,杭州·西湖区·西溪,亲宝宝,互联网,D轮及以上,500-999人,带薪年假，零食下午茶，员工旅游，年终奖，餐补，五险一金，节日福利，定期体检，姨妈假，交通补助,200-250元/天,NULL,5天/周,6个月,"C端产品,用户/功能产品,社区产品,内容产品,社交产品",saas,2025/1/20,,,,
产品,产品经理,产品经理碳中和,杭州·余杭区·仓前,轻舟能源科技,大数据,A轮,20-99人,节日福利，餐补，团建聚餐，股票期权，生日福利，零食下午茶，年终奖，带薪年假，五险一金，定期体检，加班补助,13-17K,NULL,1-3年,本科,"B端产品,中后台产品,其他方向,物联网产品,市场调研,",saas,2025/1/20,,,,
产品,产品经理,产品解决方案专家（政企大模型产品商业化）,杭州·西湖区·三墩,阿里云,互联网,不需要融资,10000人以上,节日福利，带薪年假，餐补，免费班车，绩效奖金，定期体检，年终奖，五险一金,55-70K,NULL,5-10年,本科,"B端产品,云计算产品,AI产品,人工智能,大模型,央国企",saas,2025/1/20,,,,
产品,产品经理,产品设计师,杭州·西湖区·西溪,有赞,互联网,已上市,1000-9999人,带薪年假，零食下午茶，交通补助，年终奖，定期体检，五险一金，免费班车，股票期权，通讯补贴，员工旅游，节日福利,25-35K,14薪,3-5年,本科,"数据产品,电商产品",saas,2025/1/20,,,,
产品,产品经理,产品负责人,杭州·滨江区·西兴,英语趣配音,在线教育,不需要融资,20-99人,零食下午茶，法定节假日三薪，员工旅游，生日福利，年终奖，孝顺基金，带薪年假，绩效奖金，夜班补助，股票期权，节日福利，高温补贴，节假日加班费，五险一金，团建聚餐,20-40K,NULL,3-5年,本科,"C端产品,B端产品,社交产品,AI产品",saas,2025/1/20,,,,
产品,产品经理,产品负责人/创业伙伴/合伙人,杭州·西湖区·西溪,光合碳索科技,人工智能,未融资,20-99人,五险一金,50-60K,NULL,3-5年,本科,"用户/功能产品,C端产品,AI产品,社交产品",saas,2025/1/20,,,,
产品,产品经理,仓储产品经理,杭州·滨江区·长河,玖欣物联,互联网,不需要融资,20-99人,节日福利，股票期权，零食下午茶，定期体检，带薪年假，五险一金，高温补贴，有无线网，团建聚餐，年终奖,12-16K,NULL,5-10年,本科,"AI产品,物联网产品,仓储,rfid,AI",saas,2025/1/20,,,,
产品,产品经理,企微产品经理,杭州·上城区·三堡,汇优盟,互联网,未融资,100-499人,全勤奖，年终奖，绩效奖金，加班补助，节假日加班费，工龄奖，生日福利，餐补，五险一金，通讯补贴，零食下午茶,10-15K,NULL,3-5年,本科,"B端产品,汽车,企业微信",saas,2025/1/20,,,,
产品,产品经理,体软产品经理【兼售前】,杭州·西湖区·西溪,禾连健康,医疗健康,B轮,100-499人,零食下午茶，员工旅游，股票期权，带薪年假，团建聚餐，五险一金，年终奖，生日福利，定期体检，节日福利,11-20K,13薪,1-3年,本科,"B端产品,AI产品,医疗产品",saas,2025/1/20,,,,
产品,产品经理,供应链产品经理,杭州·余杭区·五常,阿里集团,互联网,已上市,10000人以上,加班补助，补充医疗保险，交通补助，餐补，五险一金，通讯补贴，零食下午茶，定期体检,40-60K,16薪,3-5年,本科,"供应链产品,消费电子,物流产品,财务产品,零售,团购,,",saas,2025/1/20,,,,
产品,产品经理,保险科技赋能产品经理,杭州·西湖区·文三路,保险师,互联网,C轮,100-499人,五险一金，餐补，定期体检，年终奖，补充医疗保险，带薪年假，股票期权,20-35K,NULL,5-10年,本科,"用户/功能产品,C端产品,保险科技赋能产品经理,金融产品,,",saas,2025/1/20,,,,
产品,产品经理,信贷业务产品经理（to Ｃ）,杭州·西湖区·西溪,蚂蚁集团,互联网,D轮及以上,10000人以上,员工旅游，股票期权，五险一金，全勤奖，节日福利，加班补助，通讯补贴，餐补，交通补助，零食下午茶，带薪年假，定期体检，包吃，年终奖，住房补贴，免费班车,30-45K,13薪,3-5年,本科,"用户/功能产品,C端产品,金融产品,物联网产品",saas,2025/1/20,,,,
产品,产品经理,儿童教育产品经理,杭州·钱塘区·大江东,兆奕科技,智能硬件/消费电子,未融资,1000-9999人,绩效奖金，节日福利，有无线网，年终奖，包吃，加班补助，企业年金，法定节假日三薪，带薪年假，股票期权，节假日加班费，团建聚餐，全勤奖，餐补，五险一金，免费班车，员工旅游，交通补助，包住，宿舍有空调,10-15K,13薪,1-3年,硕士,"心理学,儿童教育",saas,2025/1/20,,,,
产品,产品经理,全球速卖通事业部-广告机制产品,杭州,阿里巴巴集团,互联网,已上市,10000人以上,五险一金，节日福利，免费班车，股票期权，员工旅游，交通补助，零食下午茶，年终奖，补充医疗保险，餐补,20-40K,NULL,经验不限,本科,"商业产品,电商产品,广告产品",saas,2025/1/20,,,,
产品,产品经理,全球速卖通事业部-服饰导购产品经理-杭州,杭州·余杭区·仓前,阿里巴巴集团,互联网,已上市,10000人以上,免费班车，年终奖，节日福利，交通补助，补充医疗保险，餐补，股票期权，五险一金，零食下午茶，员工旅游,25-50K,NULL,3-5年,本科,"C端产品,用户/功能产品,电商产品",saas,2025/1/20,,,,
产品,产品经理,全球速卖通事业部(AliExpress)-垂直服饰,杭州·余杭区·仓前,阿里巴巴集团,互联网,已上市,10000人以上,员工旅游，股票期权，五险一金，年终奖，交通补助，补充医疗保险，零食下午茶，免费班车，餐补，节日福利,25-35K,14薪,3-5年,本科,C端产品,saas,2025/1/20,,,,
产品,产品经理,内容产品专家-创作者/创作工具,杭州·西湖区·西溪,蚂蚁集团,互联网,D轮及以上,10000人以上,加班补助，节日福利，全勤奖，带薪年假，通讯补贴，包吃，餐补，员工旅游，零食下午茶，五险一金，交通补助，定期体检，免费班车，年终奖，股票期权，住房补贴,30-60K,16薪,3-5年,本科,"C端产品,直播/视频产品,内容产品",saas,2025/1/20,,,,
产品,产品经理,内容产品经理(儿童教育),杭州·余杭区·仓前,阿里巴巴集团,互联网,已上市,10000人以上,年终奖，补充医疗保险，餐补，零食下午茶，股票期权，免费班车，五险一金，交通补助，节日福利，员工旅游,20-40K,15薪,3-5年,本科,"用户/功能产品,C端产品,社区产品,AI产品,内容产品",saas,2025/1/20,,,,
